experiment_block,experiment_turn,memory_fraction,message_maxSize,executor_cores,parallelism,time_to_run_join,time_to_run_groubySort,time_to_run_count,total_time
Experiment Block: 1,Experiment turn: 1,0.5,300,5,50,0.033101558685302734,0.029053926467895508,0.6036136150360107,0.665769100189209
Experiment Block: 1,Experiment turn: 2,0.5,300,5,50,0.029102802276611328,0.027898550033569336,0.28119969367980957,0.33820104598999023
Experiment Block: 1,Experiment turn: 3,0.5,300,5,50,0.02940988540649414,0.02867603302001953,0.20086073875427246,0.25894665718078613
Experiment Block: 2,Experiment turn: 1,0.5,300,5,500,0.030463695526123047,0.027407407760620117,0.5971755981445312,0.6550467014312744
Experiment Block: 2,Experiment turn: 2,0.5,300,5,500,0.03071761131286621,0.029504060745239258,0.22707223892211914,0.2872939109802246
Experiment Block: 2,Experiment turn: 3,0.5,300,5,500,0.028181076049804688,0.028061628341674805,0.16646480560302734,0.22270750999450684
Experiment Block: 3,Experiment turn: 1,0.5,300,3,50,0.03208661079406738,0.0275881290435791,0.6152596473693848,0.6749343872070312
Experiment Block: 3,Experiment turn: 2,0.5,300,3,50,0.046005964279174805,0.030425071716308594,0.235335111618042,0.3117661476135254
Experiment Block: 3,Experiment turn: 3,0.5,300,3,50,0.02881312370300293,0.02718186378479004,0.1826484203338623,0.23864340782165527
Experiment Block: 4,Experiment turn: 1,0.5,300,3,500,0.031211376190185547,0.03145456314086914,0.5764126777648926,0.6390786170959473
Experiment Block: 4,Experiment turn: 2,0.5,300,3,500,0.026663780212402344,0.027685165405273438,0.23331236839294434,0.2876613140106201
Experiment Block: 4,Experiment turn: 3,0.5,300,3,500,0.0272219181060791,0.026313066482543945,0.16620373725891113,0.21973872184753418
Experiment Block: 5,Experiment turn: 1,0.5,300,1,50,0.030867338180541992,0.02637767791748047,0.571091890335083,0.6283369064331055
Experiment Block: 5,Experiment turn: 2,0.5,300,1,50,0.027800559997558594,0.026355266571044922,0.23200678825378418,0.2861626148223877
Experiment Block: 5,Experiment turn: 3,0.5,300,1,50,0.02774524688720703,0.028277158737182617,0.16692733764648438,0.22294974327087402
Experiment Block: 6,Experiment turn: 1,0.5,300,1,500,0.03123307228088379,0.02845287322998047,0.5991439819335938,0.658829927444458
Experiment Block: 6,Experiment turn: 2,0.5,300,1,500,0.02704906463623047,0.026973962783813477,0.2318744659423828,0.28589749336242676
Experiment Block: 6,Experiment turn: 3,0.5,300,1,500,0.027786970138549805,0.02746129035949707,0.1936962604522705,0.24894452095031738
Experiment Block: 7,Experiment turn: 1,0.5,500,5,50,0.031475067138671875,0.02912425994873047,0.5816519260406494,0.6422512531280518
Experiment Block: 7,Experiment turn: 2,0.5,500,5,50,0.02980804443359375,0.028978347778320312,0.20196008682250977,0.26074647903442383
Experiment Block: 7,Experiment turn: 3,0.5,500,5,50,0.02976202964782715,0.03142380714416504,0.18914508819580078,0.25033092498779297
Experiment Block: 8,Experiment turn: 1,0.5,500,5,500,0.030576467514038086,0.02629828453063965,0.5592372417449951,0.6161119937896729
Experiment Block: 8,Experiment turn: 2,0.5,500,5,500,0.028367280960083008,0.03132939338684082,0.24089908599853516,0.300595760345459
Experiment Block: 8,Experiment turn: 3,0.5,500,5,500,0.027672290802001953,0.027785301208496094,0.19324827194213867,0.24870586395263672
Experiment Block: 9,Experiment turn: 1,0.5,500,3,50,0.030662059783935547,0.026649951934814453,0.5613195896148682,0.6186316013336182
Experiment Block: 9,Experiment turn: 2,0.5,500,3,50,0.02772355079650879,0.02710437774658203,0.23456478118896484,0.28939270973205566
Experiment Block: 9,Experiment turn: 3,0.5,500,3,50,0.028037309646606445,0.02767348289489746,0.1920006275177002,0.2477114200592041
Experiment Block: 10,Experiment turn: 1,0.5,500,3,500,0.03091263771057129,0.026924848556518555,0.572178840637207,0.6300163269042969
Experiment Block: 10,Experiment turn: 2,0.5,500,3,500,0.027600526809692383,0.030508041381835938,0.21192312240600586,0.2700316905975342
Experiment Block: 10,Experiment turn: 3,0.5,500,3,500,0.028284549713134766,0.027266263961791992,0.20660901069641113,0.2621598243713379
Experiment Block: 11,Experiment turn: 1,0.5,500,1,50,0.03161478042602539,0.02657318115234375,0.5828795433044434,0.6410675048828125
Experiment Block: 11,Experiment turn: 2,0.5,500,1,50,0.026366233825683594,0.02620077133178711,0.23620009422302246,0.28876709938049316
Experiment Block: 11,Experiment turn: 3,0.5,500,1,50,0.027712106704711914,0.026988506317138672,0.18236160278320312,0.2370622158050537
Experiment Block: 12,Experiment turn: 1,0.5,500,1,500,0.03465628623962402,0.026494503021240234,0.5741040706634521,0.6352548599243164
